experiment_id,model,input_mode,is_baseline,split,sample_id,speaker_id,noise_id,noise_category,target_snr_db,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,pesq_error,output_rms,clipping_count,nonfinite_count
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_dhruv__+5dB,SPK_009,helicopter_rotor_dhruv,PERIODIC_ROTOR,5.0,5.0,7.7,2.7,11.56,0.8938,1.2981,,0.0583,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_dhruv__+5dB,SPK_009,helicopter_rotor_dhruv,PERIODIC_ROTOR,5.0,5.0,6.36,1.36,12.69,0.9138,1.4171,,0.0498,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_dhruv__+5dB,SPK_009,helicopter_rotor_dhruv,PERIODIC_ROTOR,5.0,5.0,8.51,3.51,7.87,0.8952,1.2117,,0.0818,3,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_dhruv__+5dB,SPK_009,helicopter_rotor_dhruv,PERIODIC_ROTOR,5.0,5.0,11.15,6.15,12.87,0.9321,1.5622,,0.0733,1,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,-5.0,0.0,-5.0,0.7723,1.0245,,0.1849,11,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,5.28,10.28,4.72,0.8059,1.029,,0.0975,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,7.25,12.25,8.11,0.8194,1.0391,,0.0632,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,6.71,11.71,9.08,0.8303,1.0412,,0.0564,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,2.55,7.55,1.61,0.8113,1.0461,,0.1044,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__propeller_rotor_an32__-5dB,SPK_009,propeller_rotor_an32,PERIODIC_ROTOR,-5.0,-5.0,8.5,13.5,7.86,0.86,1.0747,,0.0861,2,0
