clip,noise_type,target_snr_db,variant,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,stoi_source,pesq_source
SPK_009_clean,impulsive,-5,NOISY,1.13,-0.0,-5.25,0.566,1.02,STOI,PESQ
SPK_009_clean,impulsive,-5,NLMS_ONLY,1.2,0.07,-4.97,0.563,1.02,STOI,PESQ
SPK_009_clean,impulsive,-5,FULL,-0.43,-1.56,-22.56,0.557,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,NOISY,3.0,-0.0,0.05,0.685,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,NLMS_ONLY,3.1,0.1,0.3,0.684,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,FULL,-0.8,-3.8,-18.27,0.662,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,NOISY,6.24,0.0,5.07,0.844,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,NLMS_ONLY,6.43,0.19,5.32,0.844,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,FULL,-1.44,-7.68,-16.75,0.797,1.03,STOI,PESQ
SPK_009_clean,impulsive,10,NOISY,10.0,-0.0,10.02,0.879,1.04,STOI,PESQ
SPK_009_clean,impulsive,10,NLMS_ONLY,10.19,0.19,10.2,0.88,1.04,STOI,PESQ
SPK_009_clean,impulsive,10,FULL,-1.99,-11.99,-15.89,0.831,1.04,STOI,PESQ
SPK_009_clean,impulsive,15,NOISY,15.0,0.0,15.01,0.927,1.06,STOI,PESQ
SPK_009_clean,impulsive,15,NLMS_ONLY,15.14,0.14,15.13,0.93,1.06,STOI,PESQ
SPK_009_clean,impulsive,15,FULL,-1.91,-16.91,-15.77,0.867,1.08,STOI,PESQ
SPK_009_clean,impulsive,20,NOISY,20.0,0.0,19.99,0.958,1.17,STOI,PESQ
SPK_009_clean,impulsive,20,NLMS_ONLY,20.03,0.03,20.02,0.958,1.19,STOI,PESQ
SPK_009_clean,impulsive,20,FULL,-1.9,-21.9,-15.68,0.877,1.17,STOI,PESQ
SPK_010_clean,hum,-5,NOISY,-4.38,0.0,-5.0,0.889,1.02,STOI,PESQ
SPK_010_clean,hum,-5,NLMS_ONLY,9.75,14.13,9.36,0.86,1.13,STOI,PESQ
SPK_010_clean,hum,-5,FULL,-1.13,3.25,-32.63,0.773,1.16,STOI,PESQ
SPK_010_clean,hum,0,NOISY,0.0,0.0,0.0,0.893,1.04,STOI,PESQ
SPK_010_clean,hum,0,NLMS_ONLY,13.04,13.04,13.06,0.873,1.28,STOI,PESQ
SPK_010_clean,hum,0,FULL,-1.21,-1.21,-31.88,0.803,1.34,STOI,PESQ
SPK_010_clean,hum,5,NOISY,5.0,-0.0,5.0,0.895,1.12,STOI,PESQ
SPK_010_clean,hum,5,NLMS_ONLY,16.46,11.46,16.48,0.881,1.53,STOI,PESQ
SPK_010_clean,hum,5,FULL,-1.18,-6.18,-31.42,0.827,1.61,STOI,PESQ
SPK_010_clean,hum,10,NOISY,10.0,0.0,10.0,0.899,1.31,STOI,PESQ
SPK_010_clean,hum,10,NLMS_ONLY,19.77,9.77,19.79,0.894,1.89,STOI,PESQ
SPK_010_clean,hum,10,FULL,-1.16,-11.16,-31.22,0.843,1.91,STOI,PESQ
SPK_010_clean,hum,15,NOISY,15.0,-0.0,15.0,0.91,1.66,STOI,PESQ
SPK_010_clean,hum,15,NLMS_ONLY,22.99,7.99,23.0,0.913,2.38,STOI,PESQ
SPK_010_clean,hum,15,FULL,-1.16,-16.16,-31.15,0.853,2.17,STOI,PESQ
SPK_010_clean,hum,20,NOISY,20.0,-0.0,20.0,0.925,2.14,STOI,PESQ
