sample_id,split,speaker_id,noise_category,noise_source,provenance,system_config,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,processing_time_ms,rtf,cpu_percent,ram_mb
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,-0.0,4.56,4.56,2.91,0.85,1.06,3580.35,1.1934,15.0,284.6
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,-0.0,5.29,5.29,4.67,0.854,1.03,5429.48,1.8098,15.0,283.9
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,-0.0,3.07,3.07,0.12,0.831,1.03,3376.15,1.1254,15.0,283.9
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,-0.0,2.62,2.62,2.93,0.851,1.06,3406.62,1.1355,15.0,283.9
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,-0.0,4.54,4.54,4.96,0.856,1.03,7961.74,2.6539,15.0,283.9
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,10.0,10.0,0.0,10.02,0.924,1.22,0.07,0.0,15.0,283.9
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,10.0,1.82,-8.18,-0.24,0.785,1.11,36.32,0.0121,15.0,284.6
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,10.0,1.88,-8.12,-1.05,0.786,1.14,35.28,0.0118,15.0,284.6
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,10.0,0.73,-9.27,-7.36,0.809,1.03,3422.54,1.1408,15.0,281.8
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,10.0,12.5,2.5,14.33,0.962,1.27,5412.06,1.804,15.0,284.6
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,10.0,5.82,-4.18,10.22,0.925,1.23,3319.82,1.1066,15.0,282.6
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,10.0,0.52,-9.48,-7.4,0.81,1.03,3914.59,1.3049,15.0,284.6
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,10.0,4.62,-5.38,14.7,0.963,1.28,7283.01,2.4277,15.0,284.8
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,5.0,5.0,0.0,5.16,0.915,1.59,0.09,0.0,15.0,283.3
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,5.0,0.24,-4.76,-8.11,0.754,1.09,36.53,0.0122,15.0,284.6
