sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,HYBRID_PROTECTED,4.73,7.93,0.878,1.04,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,NLMS_ONLY,8.79,8.86,0.88,1.04,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,AI_ONLY,2.88,-0.21,0.848,1.03,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,HYBRID_PROTECTED,3.57,5.97,0.875,1.04,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,NLMS_ONLY,7.39,6.54,0.876,1.04,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,AI_ONLY,1.58,-2.44,0.757,1.03,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,HYBRID_PROTECTED,4.61,6.82,0.835,1.04,True
SPK_001__propeller_rotor_an32__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,NLMS_ONLY,-0.71,-0.64,0.789,1.04,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,MATCHED_REFERENCE,AI_ONLY,5.67,-4.32,0.781,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,8.29,0.82,0.796,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,6.35,1.56,0.797,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,SPEECH_LEAKAGE,AI_ONLY,5.67,-4.32,0.781,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,7.7,-0.25,0.802,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,6.68,0.27,0.802,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,6.14,-5.21,0.711,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,8.2,0.57,0.762,1.02,True
SPK_001__vehicle_acceleration_track__-5dB,NON_STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,3.82,-0.97,0.722,1.03,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,MATCHED_REFERENCE,AI_ONLY,-10.0,13.58,0.958,1.41,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-9.92,19.07,0.974,1.48,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,8.62,23.63,0.98,1.62,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-10.0,13.58,0.958,1.41,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-12.0,9.81,0.98,1.43,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,-7.26,10.26,0.98,1.45,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-13.22,0.79,0.85,1.19,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-10.13,10.4,0.907,1.4,True
SPK_001__tactical_siren_sweep__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-15.33,-0.32,0.863,1.18,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,2.95,-0.04,0.828,1.02,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,3.96,4.14,0.853,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,5.35,4.87,0.854,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,2.95,-0.04,0.828,1.02,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,2.79,1.69,0.847,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,4.05,2.09,0.846,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,1.6,-2.33,0.742,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,3.63,2.72,0.795,1.03,True
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-0.56,-1.21,0.76,1.03,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,MATCHED_REFERENCE,AI_ONLY,-5.21,9.09,0.922,1.2,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,MATCHED_REFERENCE,HYBRID_PROTECTED,-6.01,13.5,0.964,1.25,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,MATCHED_REFERENCE,NLMS_ONLY,2.52,14.67,0.965,1.28,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,AI_ONLY,-5.21,9.09,0.922,1.2,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,HYBRID_PROTECTED,-7.22,7.78,0.946,1.16,True
