hop_index,total_ms,dsp_ms,ai_ms,regime_ms
611,3.407,0.415,2.111,0.712
612,3.421,0.415,2.123,0.684
613,3.385,0.416,2.116,0.685
614,3.998,0.629,2.367,0.83
615,3.51,0.424,2.152,0.756
616,3.469,0.455,2.157,0.686
617,3.575,0.42,2.269,0.705
618,4.309,0.422,2.995,0.711
619,3.547,0.464,2.172,0.731
620,3.445,0.416,2.17,0.687
621,3.484,0.416,2.171,0.725
622,4.919,0.417,3.592,0.724
623,4.827,0.614,2.781,1.15
624,4.654,0.592,2.722,1.083
625,5.638,0.649,3.654,1.061
626,5.348,0.652,3.085,1.311
627,5.296,0.678,3.053,1.277
628,5.996,0.692,3.802,1.208
629,4.616,0.591,2.667,1.052
630,4.375,0.609,2.561,0.964
631,5.187,0.58,3.368,0.996
632,4.838,0.606,2.831,1.132
633,4.597,0.637,2.686,1.01
634,4.469,0.579,2.605,1.038
635,5.521,0.645,2.779,1.107
636,4.748,0.59,2.835,1.064
637,5.152,0.654,3.103,1.091
638,6.373,0.685,3.321,2.058
639,3.794,0.455,2.308,0.83
640,3.575,0.465,2.205,0.724
641,4.443,0.417,3.145,0.693
642,4.809,0.624,2.748,1.156
643,5.362,0.662,3.149,1.269
644,5.6,0.681,3.378,1.263
645,3.523,0.427,2.15,0.753
646,3.431,0.421,2.133,0.701
647,3.425,0.417,2.113,0.729
648,4.764,0.451,3.187,0.683
649,5.752,0.721,3.473,1.235
650,5.721,0.695,3.252,1.46
651,4.788,1.274,2.522,0.787
652,3.724,0.435,2.311,0.791
653,3.976,0.432,2.593,0.77
654,3.521,0.431,2.163,0.749
655,4.695,1.458,2.381,0.685
656,3.532,0.422,2.182,0.754
657,3.463,0.418,2.136,0.74
658,3.442,0.447,2.146,0.684
659,4.137,0.413,2.872,0.685
660,3.525,0.463,2.171,0.717
661,3.511,0.418,2.235,0.688
662,3.479,0.417,2.163,0.731
663,4.197,0.421,2.878,0.728
664,3.489,0.422,2.136,0.72
665,3.481,0.436,2.149,0.729
666,3.432,0.457,2.124,0.683
667,3.402,0.413,2.139,0.684
668,4.816,0.62,2.955,1.068
669,3.544,0.426,2.207,0.728
670,3.412,0.412,2.142,0.689
671,3.428,0.413,2.126,0.726
672,4.196,1.014,2.244,0.769
673,3.501,0.423,2.165,0.74
674,3.422,0.41,2.16,0.685
675,3.376,0.417,2.108,0.684
676,4.531,0.416,3.211,0.72
677,4.987,0.677,2.839,1.181
678,4.97,0.629,2.865,1.195
679,5.858,0.661,3.787,1.131
680,4.695,0.597,2.74,1.092
681,4.702,0.616,2.834,1.005
682,5.713,0.571,3.717,1.159
683,3.941,0.476,2.264,0.914
684,3.459,0.45,2.134,0.701
685,3.387,0.411,2.124,0.687
686,4.428,0.412,3.12,0.716
687,5.009,0.681,2.855,1.186
688,4.967,0.619,2.88,1.194
689,5.816,0.677,3.728,1.138
690,4.973,0.693,2.832,1.169
691,5.049,0.621,2.941,1.206
692,5.733,0.681,3.636,1.151
693,4.536,0.586,2.612,1.027
694,4.401,0.614,2.581,0.969
695,4.354,0.577,2.531,0.998
696,5.193,0.651,3.033,1.25
697,5.033,0.684,2.878,1.182
698,5.039,0.639,2.907,1.214
699,5.218,0.684,3.058,1.192
700,5.12,0.628,2.991,1.185
701,5.042,0.627,2.93,1.204
702,4.738,0.576,2.717,1.136
703,4.371,0.61,2.542,0.975
704,4.322,0.564,2.532,0.989
705,4.878,0.575,3.063,0.997
706,5.01,0.68,2.853,1.191
707,4.987,0.642,2.85,1.216
708,5.581,0.673,3.461,1.166
709,5.3,0.647,3.057,1.293
710,5.548,0.773,3.257,1.237
711,5.395,0.686,3.219,1.209
712,3.473,0.424,2.136,0.733
713,3.426,0.413,2.124,0.689
714,3.426,0.415,2.129,0.717
715,3.95,0.411,2.688,0.674
716,5.194,0.672,3.055,1.191
717,5.02,0.613,2.948,1.081
718,4.751,0.594,2.765,1.115
719,3.994,0.427,2.222,1.055
720,3.404,0.414,2.095,0.725
721,3.338,0.413,2.052,0.707
722,3.333,0.406,2.089,0.676
723,4.473,0.472,3.109,0.68
724,4.728,0.594,2.767,1.101
725,4.582,0.591,2.701,1.031
726,5.417,0.621,3.558,0.987
727,5.036,0.68,2.854,1.207
728,5.007,0.626,2.886,1.216
729,5.686,0.672,3.567,1.163
730,4.378,0.686,2.265,1.157
731,3.447,0.423,2.142,0.711
732,3.436,0.42,2.142,0.703
733,4.327,0.417,3.001,0.74
734,3.392,0.427,2.057,0.728
735,3.315,0.411,2.01,0.727
736,3.377,0.456,2.072,0.686
737,3.306,0.408,2.053,0.68
738,4.797,0.61,2.796,1.213
739,4.753,0.63,2.795,1.054
740,5.347,0.65,3.135,1.275
741,5.47,0.69,3.258,1.229
742,5.532,0.69,3.296,1.253
743,3.685,0.432,2.235,0.797
744,4.598,0.425,3.232,0.756
745,4.949,0.616,2.922,1.131
746,4.563,0.581,2.658,1.058
747,4.758,0.614,2.929,0.961
748,3.681,0.432,2.231,0.773
749,3.568,0.461,2.231,0.702
