hop_index,total_ms,dsp_ms,ai_ms,regime_ms
179,3.418,0.42,2.085,0.737
180,3.36,0.455,2.03,0.701
181,4.337,0.624,2.838,0.691
182,4.535,0.588,2.633,1.054
183,4.427,0.585,2.582,1.012
184,5.37,0.579,3.539,0.969
185,4.725,0.658,2.719,1.078
186,4.533,0.58,2.641,1.061
187,4.485,0.575,2.63,1.038
188,4.357,0.472,2.295,1.346
189,3.536,0.422,2.22,0.716
190,3.497,0.421,2.201,0.706
191,3.497,0.42,2.164,0.743
192,4.544,0.591,2.708,1.073
193,3.491,0.429,2.099,0.739
194,3.359,0.415,2.054,0.723
195,3.38,0.414,2.122,0.681
196,4.647,0.413,3.379,0.676
197,4.558,0.637,2.62,1.037
198,4.456,0.579,2.602,1.031
199,5.377,0.58,3.545,1.02
200,3.722,0.45,2.25,0.802
201,3.472,0.422,2.177,0.702
202,3.531,0.419,2.15,0.792
203,4.556,0.461,3.211,0.699
204,4.743,0.599,2.717,1.103
205,4.518,0.62,2.691,0.964
206,4.513,0.581,2.633,1.047
207,4.346,0.601,2.353,1.154
208,3.725,0.427,2.34,0.775
209,3.509,0.422,2.152,0.721
210,3.502,0.452,2.156,0.727
211,4.365,0.633,2.841,0.706
212,4.524,0.58,2.618,1.069
213,4.523,0.585,2.664,0.981
214,5.373,0.632,3.483,1.002
215,3.996,0.446,2.29,1.007
216,3.981,0.427,2.481,0.855
217,3.953,0.423,2.581,0.724
218,4.806,0.613,2.871,1.033
219,3.834,0.537,2.377,0.731
220,3.608,0.429,2.253,0.738
221,3.605,0.425,2.292,0.71
222,4.293,0.66,2.695,0.725
223,3.484,0.471,2.091,0.736
224,3.408,0.419,2.118,0.698
225,4.455,0.609,2.896,0.731
226,4.681,0.661,2.696,1.068
227,3.587,0.429,2.231,0.749
228,3.629,0.471,2.235,0.744
229,4.021,0.432,2.617,0.737
230,3.988,0.502,2.577,0.725
231,3.636,0.429,2.265,0.728
232,4.018,0.448,2.403,0.982
233,3.64,0.433,2.255,0.775
234,4.832,0.499,3.263,0.886
235,4.457,0.437,3.068,0.748
236,4.896,0.61,2.865,1.096
237,5.839,0.626,3.833,1.105
238,5.479,0.627,3.417,1.15
239,5.516,0.642,3.306,1.248
240,4.484,0.622,2.481,1.114
241,3.42,0.426,2.087,0.724
242,3.358,0.417,2.036,0.737
243,3.465,0.46,2.122,0.711
244,4.0,0.425,2.7,0.701
245,3.646,0.431,2.249,0.781
246,3.5,0.427,2.162,0.731
247,3.382,0.421,2.039,0.748
248,3.751,0.461,2.405,0.699
249,4.503,0.598,2.338,1.311
250,3.512,0.423,2.166,0.746
251,3.457,0.452,2.149,0.693
252,3.418,0.419,2.153,0.683
253,4.373,0.74,2.482,0.974
254,4.193,0.598,2.429,0.97
255,3.64,0.431,2.289,0.735
256,3.759,0.43,2.4,0.743
257,4.364,0.466,2.472,1.112
258,3.594,0.434,2.244,0.734
259,3.502,0.419,2.181,0.732
260,3.492,0.415,2.179,0.73
261,4.296,0.616,2.828,0.686
262,4.326,0.429,2.958,0.759
263,3.52,0.425,2.194,0.722
264,3.48,0.42,2.14,0.749
265,5.189,1.272,3.044,0.689
266,4.701,0.645,2.697,1.096
267,4.454,0.582,2.614,1.019
268,5.305,0.573,3.474,1.016
269,4.511,0.583,2.62,1.059
270,4.427,0.579,2.593,1.016
271,5.36,0.591,3.538,0.986
272,4.579,0.59,2.684,1.054
273,4.484,0.577,2.688,0.975
274,4.472,0.629,2.597,0.999
275,5.44,0.698,2.62,1.887
276,3.513,0.46,2.163,0.714
277,3.489,0.415,2.214,0.692
278,3.483,0.422,2.153,0.698
279,4.408,0.429,2.276,1.531
280,3.458,0.421,2.163,0.7
281,3.633,0.43,2.26,0.765
282,3.634,0.449,2.236,0.768
283,5.234,1.468,2.868,0.707
284,4.636,0.639,2.731,1.007
285,4.683,0.592,2.74,1.091
286,5.256,0.588,3.264,1.154
287,3.596,0.435,2.196,0.781
288,3.54,0.464,2.19,0.713
289,3.521,0.426,2.215,0.707
290,5.22,0.427,3.84,0.717
291,5.248,0.644,2.946,1.352
292,4.994,0.65,2.981,1.089
293,6.209,1.383,3.197,1.296
294,5.335,0.723,3.051,1.265
295,4.635,0.599,2.609,1.161
296,5.446,0.426,4.108,0.723
297,4.721,0.595,2.77,1.037
298,4.611,0.635,2.7,1.017
299,5.299,0.587,3.403,1.063
300,3.7,0.48,2.276,0.755
301,3.568,0.425,2.241,0.718
302,3.503,0.429,2.175,0.718
303,4.888,0.426,3.526,0.757
304,3.715,0.483,2.259,0.783
305,3.777,0.428,2.42,0.731
306,5.535,0.713,3.276,1.235
307,6.89,0.674,4.177,1.7
308,6.4,0.859,3.726,1.504
309,5.278,0.638,3.207,1.149
310,4.848,0.616,2.828,1.083
311,4.624,0.597,2.693,1.073
312,5.785,0.602,3.875,1.043
313,5.443,0.675,3.123,1.343
314,5.234,0.671,2.961,1.292
315,5.204,0.612,3.125,1.135
316,4.74,0.602,2.727,1.086
317,4.601,0.643,2.69,1.012
318,5.678,0.606,3.72,1.089
319,4.945,0.604,2.914,1.143
320,4.068,0.443,2.359,1.009
321,3.553,0.43,2.204,0.736
322,4.789,0.607,2.838,1.07
323,4.688,0.633,2.736,1.052
324,4.569,0.586,2.662,1.064
325,5.187,0.587,3.324,0.993
326,5.027,0.612,2.987,1.132
327,5.965,0.655,3.989,1.052
328,6.188,0.684,3.316,1.863
329,5.466,0.658,3.207,1.292
330,5.147,0.648,2.906,1.299
331,4.334,0.62,2.271,1.166
332,3.563,0.466,2.209,0.713
333,3.666,0.469,2.268,0.722
334,4.599,0.424,3.255,0.724
335,4.771,0.596,2.803,1.101
336,4.649,0.601,2.759,1.017
337,4.599,0.596,2.69,1.056
338,4.61,0.435,2.262,1.671
339,3.415,0.422,2.117,0.699
340,3.359,0.417,2.015,0.755
341,3.407,0.458,2.091,0.689
342,5.273,0.416,3.983,0.689
343,5.415,0.715,3.134,1.258
344,5.194,0.643,2.957,1.302
345,5.728,0.63,3.115,1.704
346,5.362,0.679,3.1,1.281
347,5.322,0.717,3.041,1.259
348,5.739,0.675,2.66,2.127
349,3.546,0.465,2.174,0.723
350,3.523,0.416,2.218,0.71
351,3.618,0.422,2.301,0.704
352,4.804,0.602,2.807,1.075
353,4.552,0.634,2.651,1.008
354,4.509,0.585,2.628,1.05
355,4.792,0.585,2.955,1.011
356,3.514,0.43,2.111,0.788
357,3.312,0.45,2.012,0.684
358,3.32,0.422,2.034,0.693
359,4.646,0.445,3.269,0.742
360,5.74,0.669,3.428,1.333
361,4.306,0.612,2.261,1.157
362,3.537,0.457,2.195,0.702
363,4.722,0.647,2.746,1.07
364,4.439,0.571,2.586,1.034
365,4.647,0.582,2.78,0.995
366,5.39,0.652,3.461,1.012
367,5.025,0.612,2.989,1.102
368,5.005,0.614,2.949,1.146
369,4.987,0.658,2.95,1.095
370,4.637,0.589,2.708,1.078
371,4.549,0.582,2.664,1.036
372,5.28,0.609,3.451,0.972
373,4.728,0.651,2.737,1.075
374,4.589,0.595,2.683,1.056
375,5.444,0.597,3.525,1.078
376,3.583,0.428,2.204,0.772
377,3.521,0.464,2.164,0.715
378,3.389,0.421,2.079,0.713
379,3.536,0.426,2.199,0.741
380,4.651,0.438,2.351,1.692
381,3.559,0.426,2.234,0.715
382,3.551,0.421,2.216,0.737
383,3.539,0.419,2.203,0.74
384,5.736,0.722,3.29,1.524
385,5.469,0.675,3.157,1.333
386,4.523,0.641,2.531,1.088
387,4.454,0.598,2.298,1.379
388,3.639,0.431,2.257,0.77
389,3.6,0.47,2.222,0.728
390,3.634,0.426,2.319,0.708
391,4.587,0.421,3.272,0.713
392,3.507,0.429,2.137,0.761
393,3.372,0.449,2.068,0.687
394,3.389,0.418,2.114,0.69
395,4.68,0.419,3.335,0.751
396,3.663,0.437,2.268,0.766
397,3.433,0.418,2.128,0.712
398,3.415,0.415,2.1,0.729
399,3.793,0.453,2.473,0.685
400,3.723,0.439,2.246,0.799
401,3.478,0.457,2.159,0.693
402,3.411,0.413,2.154,0.678
403,3.554,0.419,2.22,0.745
404,3.937,0.606,2.35,0.804
405,3.434,0.431,2.058,0.764
406,3.44,0.422,2.141,0.702
407,3.323,0.414,2.052,0.688
408,4.318,0.414,3.002,0.722
409,4.754,0.649,2.748,1.074
410,4.61,0.614,2.676,1.063
411,4.547,0.578,2.68,0.996
412,4.667,0.634,2.698,1.073
413,4.41,0.571,2.594,1.004
414,4.386,0.566,2.562,1.017
415,4.789,0.558,2.992,0.955
416,4.631,0.646,2.699,1.026
417,4.589,0.585,2.657,1.077
418,5.184,0.577,3.328,0.998
419,3.533,0.429,2.147,0.773
420,3.448,0.418,2.157,0.7
421,3.522,0.485,2.173,0.693
422,3.411,0.416,2.08,0.741
423,4.763,0.643,2.732,1.139
424,3.518,0.424,2.161,0.721
425,3.449,0.418,2.126,0.736
426,3.42,0.445,2.122,0.686
427,4.276,0.588,2.71,0.802
428,4.462,0.616,2.612,0.981
429,4.462,0.583,2.609,1.021
430,5.126,0.577,3.254,1.023
431,3.651,0.439,2.237,0.78
432,3.506,0.423,2.176,0.738
433,3.49,0.422,2.173,0.727
434,3.646,0.454,2.318,0.694
