component,python_p50_ms,numba_p50_ms,speedup_factor,evidence_tier
VSS-NLMS,9.7865,0.1417,69.06,OFFLINE EXPERIMENTALLY MEASURED (host PC)
Impulse Controller,3.7104,0.1669,22.23,OFFLINE EXPERIMENTALLY MEASURED (host PC)
